id,user_id,store_id,external_store_id,store_name,duty_status,duty_process_status,store_qr_code_id,store_sp_no,store_mch_id,divide_up_limit,store_remark,create_time,update_time,divide_settle_type,store_et_qr_code_id,store_out_qr_code_id,vip_pay_falg,store_type,dt
2,d4f9066a2e5141a08ef054e112e251bb,7319481233134c74a55390d2bcfb75fd,,TJ测试商铺,-1,100,xxxx,6.02402E+17,4.02403E+17,-1,123你好，2121321,13:11.0,16:47.0,1,,,0,,2024/9/18
4,1bd1914fb8c54a0784c856a51a7c92fc,7fd24cf7d0284a5d8a59299b816ea5fb,,LYW测试店铺,1,100,aafb8141b883ceb54ddc60452x,6.02402E+17,4.02403E+17,-1,,21:40.0,06:06.0,1,5b980ba95aa942d08eb3d356693bdd03,07ba60719b3f4248a0c4c6f4bd502925,0,0,2025/4/21
6,55a8c7ffd9aa4942bc2134877d732350,8aa2b04376f340c0be9c528b75396339,,XL测试,1,100,1122334455,6.02402E+17,4.02403E+17,-1,,52:50.0,52:50.0,1,,,0,,2024/9/16
8,311f2aea1bff442ab6f3549aebe1cc95,89a2077f50b14f3f87c7845f11da3370,,沈则宇测试店铺,1,1,8f35d155c9df403e8c80eead6b4791ee,6.02403E+17,4.02409E+17,-1,1. 东方红洒基哦发你手打金卡 2. 三年卡发送 3. 附件打开司法解释 4. 点击塞缝 5. 水电费见附件1,35:50.0,31:04.0,1,69540ab7b23b4aa9a966fbf1729bbdf0,b1c08be2cd084b88bbca3cd896410a38,1,0,2025/4/23
10,b8defef495df435c97b34a3dd485b38b,d8904e00087d492b9a918b4d2a33e5e5,,XL测试2,1,100,1,1,1,-1,,17:03.0,17:03.0,1,,,0,,2024/10/19
12,55a8c7ffd9aa4942bc2134877d732350,bb7ddb6613d641bc80c6e77ade135f1e,,XL测试2,1,100,,1,2,-1,,07:03.0,37:27.0,1,,,0,,2024/11/26
14,02d61de0c0ce42d3a055553c862bb88e,50b3f873f8a04621b787261a51d7d45a,,MXB测试1,1,100,33dee689fecc4aafa409dd75d0195322,2,1,-1,,33:58.0,36:01.0,1,,,,,2024/8/23
16,a6c6b16f6cc3417096f0408a44435f66,3935e0732144496a8399bb2cfa58f62d,,（废弃）清远市荣运食品有限公司,-1,100,xxxx,6.02403E+17,4.02404E+17,-1,,18:36.0,50:50.0,1,,,0,,2024/12/15
18,38d260e2055a41e1a0f2e024b2d125d4,4f0da880a68642ab9334d89af799e0fa,,林维会测试店铺,-1,100,f3103d0a5af646f28be259aaa739f0d4,TEST,,-1,,13:03.0,37:17.0,1,,,0,,2025/1/30
20,2687e35a50fd4d53837387018f86f784,5bb2bf07c62f42e7a7762d6b87025f54,,一风便利店,1,100,c0d135bc336644a4a266af72613b3d99,6.02403E+17,4.02404E+17,-1,wrd1 1.有业务员来店问一下是哪个厂家的，截图发微信群里，可以告知业务员，老板一般下午在店，让其以后电话联系好老板再过来。老板电话：18516697535 2.纸巾可以拆包售卖 3.1元4个泡泡糖,18:43.0,53:49.0,1,,,0,2,2025/4/23
22,f786a3e12c4e495aa6a3f9a72b8f96e0,4f0b4c746e48409b9a9cd73e150faeec,,临海市珞日便利店,1,100,cda8a098db064720b3b9b3be42b87df0,6.02403E+17,4.02404E+17,-1,老板要求高，按话术说话，凡事解释到位。购物袋：大：0.3元，小：0.2元。可以提供堂食有开水供应，堂食提醒帮清理好垃圾 每张彩票背面都有条码，晚间扫码但需要白天兑奖,55:01.0,49:31.0,1,,,0,2,2025/4/23
24,fb88dec21a204691b1db99b9f3c7ee9f,92005eee298944d6a97e351555afe48f,,创佰商便利店,-1,100,e9120e8b231a49cc8e5cc6356036faeb,6.02403E+17,4.02404E+17,60,1.收银机需要点下确认，值守端才能看见订单情况 2.农夫山泉矿泉水扫不上，可以用怡宝代替，价钱一样,11:57.0,20:41.0,1,,,0,2,2025/4/22
26,57b65f8236fd4246bb1d9b77bcb09d4d,2e356c4567654c96922194cf62b5df5c,,萧山-建军小店,-1,100,8f2b1ddabcbd4b87ad11d6162e075f91,6.02403E+17,4.02405E+17,-1,,30:04.0,25:08.0,1,,,0,,2025/3/5
28,0f786d36d8094f3ca1e797c3240f2fc7,ba9ca44e4b804b1ebbb5da02dd7e0326,,贺静海测试店铺,1,100,5da02dd7e0326,x,x,-1,,58:40.0,44:47.0,1,,,0,0,2025/4/19
30,d317364bfef9461387c6398ff28d4a38,2796b77122454c2da340460f8252bbbe,,珠山区炎欣食品营业部,1,100,58bf1a8dbdc8429da24b2f1f13782118,6.02403E+17,4.02405E+17,-1,门锁不上电话通知张老板 1.骑手暗号：美镇让我来拿酒！对上暗号，可帮开门。成箱酒可以拆开单卖。注意冰柜门是否关严。 2.各环节及时指导帮助顾客，老板要求严格。 3.购买成箱酒扫箱子上条形码。 4.老板不在店，不允许顾客自己打酒 5.有外人在就不要让老板报手机号,36:51.0,25:09.0,1,,,0,2,2025/4/23
32,d2d61b4f550a45b78797b732d14fbae1,27eaedbba5df4b8092c4f347c98baa82,,乌鲁木齐夜猫子便利店,-1,100,6eb45d209bcf49068d2deda1d9c47d9f,6.02403E+17,4.02405E+17,-1,wrd3 老板电话：18699192386，18599086077，15026085949暂无学习用品、无槟榔、只有普通酸奶、没有奶,38:03.0,08:42.0,1,,,0,2,2025/4/17
34,fe484d02e8ae4af8a9d2ef8314525e7c,8ebf0633919145e985e46d266d57965e,,无锡宜兴元江烟酒,-1,100,79a212f2ae3941eb9e58a62f9ab78dd1,6.02403E+17,4.02405E+17,-1,wrd5  1.成条烟老板在时再来买，可以建议先买散盒先抽着（无人期间老板觉得利润低，所以不卖成条烟）。 2.看到有顾客手持其它商品让其放在门口； 3.无人期间不赠送打火机，正常扫码结算，普通1元、防风2元,39:15.0,44:46.0,1,,,0,2,2025/4/17
36,9f1ad801b1374734a6b3313915a7836e,86f1e2e835014dc1a612cc0c562624f9,,马鞍山市博望区丹阳先平便利店,1,100,1fd2be77a2244dfb94971dae502b3978,6.02403E+17,4.02406E+17,-1,wrd39 1.购物袋免费 2.成条烟不可以拆包 透明烟柜里是样品 3.成件水晚上可以拆开卖 4.老板电话：18655528688；孙小俊18355527650,26:14.0,05:08.0,1,,,0,2,2025/4/23
