id,order_id,outter_order_id,customer_id,store_owner_user_id,store_id,store_name,store_mch_id,store_sp_no,store_divide_mode,store_payment_provider,order_status,order_time,order_payment_time,order_expire_time,order_amount,order_type,order_paymnet_type,order_mark,order_deivce_id,order_deivce_sign,order_deivce_ip,duty_operation_id,duty_user_id,create_time,update_time,order_divide_status,dt
2,ecc5af585a2c46b2b5029bf17f7b7625,,13e33bf3c01a496abba2cb62012131c2,d4f9066a2e5141a08ef054e112e251bb,7319481233134c74a55390d2bcfb75fd,TJ测试商铺,402403220000019016,602402190000017144,0,0,3,2024-03-29 12:29:48.0,2024-03-29 12:29:58.0,2024-03-29 12:59:48.0,1.2,1,1.0,,FA8785101,,183.134.198.216,ea0d6d83c682462ea9c0dbc885937a70,9f33f5f8eaad4087b17cafa0bc0ec5ad,2024-03-29 12:29:48.0,2024-03-29 12:30:00.0,,2024-05-15
4,2efc4eb275fb4ed2bb5d895b4f1ffc78,,7742418cefed49ec9b5a836e2f235489,d4f9066a2e5141a08ef054e112e251bb,7319481233134c74a55390d2bcfb75fd,TJ测试商铺,402403220000019016,602402190000017144,0,0,3,2024-03-29 12:30:14.0,2024-03-29 12:30:14.0,2024-03-29 13:00:14.0,1.2,1,2.0,,FA8785101,,183.134.198.216,ea0d6d83c682462ea9c0dbc885937a70,9f33f5f8eaad4087b17cafa0bc0ec5ad,2024-03-29 12:30:14.0,2024-03-29 12:30:20.0,,2024-05-15
6,64c47422840f4c649fa7575a7272fda3,,fbf1cb1245dd4312aae0681bc99092cc,d4f9066a2e5141a08ef054e112e251bb,7319481233134c74a55390d2bcfb75fd,TJ测试商铺,402403220000019016,602402190000017144,0,0,10,2024-03-29 12:39:08.0,2024-03-29 12:39:09.0,2024-03-29 13:09:08.0,1.2,1,1.0,,FA8785101,,183.134.198.216,ea0d6d83c682462ea9c0dbc885937a70,9f33f5f8eaad4087b17cafa0bc0ec5ad,2024-03-29 12:39:08.0,2024-03-29 12:39:11.0,,2024-05-15
8,af746300497c4e2e958ac6aeec9be520,,ead6ffdd3e57483691290cb0fc7673f4,d4f9066a2e5141a08ef054e112e251bb,7319481233134c74a55390d2bcfb75fd,TJ测试商铺,402403220000019016,602402190000017144,0,0,10,2024-03-29 13:34:47.0,2024-03-29 13:34:48.0,2024-03-29 14:04:47.0,0.1,1,1.0,,FA8785101,,183.134.198.216,ea0d6d83c682462ea9c0dbc885937a70,9f33f5f8eaad4087b17cafa0bc0ec5ad,2024-03-29 13:34:47.0,2024-03-29 13:34:49.0,,2024-05-15
10,73a3c420a27c45e5906e10e34d88169f,,75d0a2f0708a4bed9b51c1b6cfacdf74,d4f9066a2e5141a08ef054e112e251bb,7319481233134c74a55390d2bcfb75fd,TJ测试商铺,402403220000019016,602402190000017144,0,0,10,2024-03-29 15:05:01.0,2024-03-29 15:05:35.0,2024-03-29 15:35:01.0,0.4,1,1.0,,FA8785101,,36.21.130.0,ea0d6d83c682462ea9c0dbc885937a70,9f33f5f8eaad4087b17cafa0bc0ec5ad,2024-03-29 15:05:01.0,2024-03-29 15:05:38.0,,2024-05-15
12,d3729397bd2b4a10b98494b35d5f3b6a,,890677e812e040e195779fb2e0096e4e,d4f9066a2e5141a08ef054e112e251bb,7319481233134c74a55390d2bcfb75fd,TJ测试商铺,402403220000019016,602402190000017144,0,0,10,2024-03-29 15:09:56.0,2024-03-29 15:09:56.0,2024-03-29 15:39:56.0,0.1,1,2.0,,FA8785101,,36.21.130.0,ea0d6d83c682462ea9c0dbc885937a70,9f33f5f8eaad4087b17cafa0bc0ec5ad,2024-03-29 15:09:56.0,2024-03-29 15:09:59.0,,2024-05-15
14,6802395658134979b272e93f3d4802df,,ec92df26e8cf4eb2a20d34f1c4459d0a,d4f9066a2e5141a08ef054e112e251bb,7319481233134c74a55390d2bcfb75fd,TJ测试商铺,402403220000019016,602402190000017144,0,0,10,2024-03-29 15:10:45.0,2024-03-29 15:10:45.0,2024-03-29 15:40:45.0,0.1,1,1.0,,FA8785101,,36.21.130.0,ea0d6d83c682462ea9c0dbc885937a70,9f33f5f8eaad4087b17cafa0bc0ec5ad,2024-03-29 15:10:45.0,2024-03-29 15:10:48.0,,2024-05-15
16,cd6cc80271024143bd739b2564f17798,,99b97a4075704231847dcb1b20b90947,d4f9066a2e5141a08ef054e112e251bb,7319481233134c74a55390d2bcfb75fd,TJ测试商铺,402403220000019016,602402190000017144,0,0,20,2024-03-29 17:00:48.0,,2024-03-29 17:30:48.0,0.7,1,,,FA8785101,,36.21.130.0,ea0d6d83c682462ea9c0dbc885937a70,9f33f5f8eaad4087b17cafa0bc0ec5ad,2024-03-29 17:00:48.0,2024-03-29 18:00:00.0,,2024-05-15
18,8b57f840108449f0ad2a3747b2433646,,364f5f3605a1425088fea5f4437b12bd,d4f9066a2e5141a08ef054e112e251bb,7319481233134c74a55390d2bcfb75fd,TJ测试商铺,402403220000019016,602402190000017144,0,0,10,2024-03-29 21:32:16.0,2024-03-29 21:32:16.0,2024-03-29 22:02:16.0,1.2,1,1.0,,L51288590,,36.28.103.215,ea0d6d83c682462ea9c0dbc885937a70,9f33f5f8eaad4087b17cafa0bc0ec5ad,2024-03-29 21:32:16.0,2024-03-29 21:32:18.0,,2024-05-15
20,0dd88c25300a44d68c91f16e8b07cca3,,72760345f7cd4b2b8512423ddce71801,d4f9066a2e5141a08ef054e112e251bb,7319481233134c74a55390d2bcfb75fd,TJ测试商铺,402403220000019016,602402190000017144,0,0,10,2024-03-29 21:39:12.0,2024-03-29 21:39:12.0,2024-03-29 22:09:12.0,0.4,1,2.0,,L51288590,,36.28.103.215,ea0d6d83c682462ea9c0dbc885937a70,9f33f5f8eaad4087b17cafa0bc0ec5ad,2024-03-29 21:39:12.0,2024-03-29 21:39:14.0,,2024-05-15
