id,order_id,product_id,product_name,product_url,product_price,product_count,create_time,update_time,dt,category,position,stock,sales
1655252,2.51E+15,,苏泊尔1.7L不锈钢一体无缝内胆双层防烫烧水煮水壶一键保温电热水壶17S15A 电水壶,,179,1,40:46.0,40:46.0,2025/3/29,家电,A1,10,1
785438,YS202412241755450001,55,小白菜,,3.5,1,55:45.0,55:45.0,2025/4/16,生鲜,B2,67,76
1253530,YS202502041105080001,78,下锅耙（青菜）,,5,2,05:08.0,05:08.0,2025/3/18,生鲜,A2,84,71
539176,YS202411170005360001,6000006,铭家瑞香泡鸭爪（清香）28g,,2.2,1,05:37.0,05:37.0,2025/1/12,零食,B3,46,28
2357984,YS202504101305030002,100029,无结子线,,35,1,05:04.0,05:04.0,2025/4/12,零食,A2,73,61
484996,89833010718361120241107PRD000103,10010652,杨梅抱抱卷面包,,4.9,1,09:48.0,09:48.0,2025/4/23,零食,B3,84,66
106274,YSWRD2024080904583211600001,10010675,草莓心太软面包,,4.9,1,58:32.0,58:32.0,2024/10/20,零食,A3,54,45
177366,YSWRD2024082723302670800001,10030443,歌剧院杏仁蛋糕,,11.9,1,30:27.0,30:27.0,2025/4/23,零食,B4,92,2
6612,2.02E+21,10060026,日式金枪鱼饭团,,3.9,1,52:32.0,52:32.0,2025/1/4,零食,A3,78,1
2225444,YS202504042324340001,1.30E+17,黄金叶外,,135,1,24:34.0,24:34.0,2025/4/8,烟草,B4,16,6
93360,YSWRD2024080503465796400001,2.00E+12,袜子,,12.9,1,46:58.0,46:58.0,2024/11/9,服装,A4,35,10
504168,YS202411110213350001,2.00E+12,女袜子,,9.9,1,13:36.0,13:36.0,2024/12/3,服装,B5,98,15
162906,YSWRD2024082410273202000001,2018K40,测试,,0.1,1,27:32.0,27:32.0,2025/1/4,其他,A4,55,13
764138,YS202412211838370001,2.20E+12,黄金鱼,,13.4,1,38:38.0,38:38.0,2025/4/10,零食,B5,5,99
777724,YS202412231624270001,2.20E+12,粉肠,,9.36,1,24:27.0,24:27.0,2025/2/20,零食,A5,92,38
761822,YS202412210820370001,2.20E+12,芹菜,,5.5,1,20:37.0,20:37.0,2024/12/25,蔬菜,B6,100,53
755356,YS202412201525240001,2.20E+12,皇冠梨,,8,1,25:25.0,25:25.0,2025/3/30,水果,A5,14,91
784236,YS202412241304160001,2.20E+12,香蕉,,18.81,1,04:17.0,04:17.0,2025/1/18,水果,B6,99,69
302330,YS202409270750360001,2222,红虫,,2.8,1,50:37.0,50:37.0,2025/3/2,零食,A6,76,9
496916,YS202411100027280001,4.07E+12,柏龙,,12,1,27:29.0,27:29.0,2024/11/17,食品,B7,43,22
2297170,YS202504072347330001,4.55E+12,冈本003,,78,1,47:34.0,47:34.0,2025/4/13,零食,A6,10,6
419084,YS202410250617560001,4.90E+12,超友味香辣味贡菜,,9.5,1,17:56.0,17:56.0,2025/4/23,蔬菜,B7,50,41
2665902,YS202504211905250001,4.90E+12,超友味蛋卷生椰拿铁味,,10.5,1,05:25.0,05:25.0,2025/4/22,零食,A7,15,73
2465300,YS202504141932000001,4.90E+12,超友味蔬菜鳕鱼肠-胡萝卜味,,11.5,1,32:01.0,32:01.0,2025/4/21,零食,B8,22,84
243350,YSWRD2024091223260041600001,4.90E+12,柠檬草薄荷糖,,15,3,26:00.0,26:00.0,2024/11/13,零食,A7,1,15
1983530,YS202503250132430001,4.90E+12,U100冰糖杨梅45g,,7.8,1,32:43.0,32:43.0,2025/4/14,零食,B8,93,13
1585712,YS202503022237380001,4.90E+12,350ml NFC100%椰子水,,6,1,37:39.0,37:39.0,2025/4/10,饮料,A8,97,44
1058368,YS202501221526340001,4.90E+12,438g展兴盐焗美国开心果,,70.5,1,26:35.0,26:35.0,2025/3/26,零食,B9,76,53
309620,YS202409290221590001,4.90E+12,橙式恋人猪肉脯（炭烤味）65g,,10.9,1,21:59.0,21:59.0,2025/1/15,零食,A8,73,56
2243724,YS202504051848250001,6.00E+12,皮鞭黑色,,12,1,48:26.0,48:26.0,2025/4/12,服饰,B9,92,98
320976,YS202410011611010001,600416,大物漂,,2.8,2,11:01.0,11:01.0,2025/4/21,食品,A9,81,35
1529360,YS202502270955140001,6.20E+12,插线板,,12,1,55:15.0,55:15.0,2025/3/10,家电,B10,85,18
468038,89833010718361120241104PRD000021,6.30E+12,果倍爽白葡萄味汁饮料200ml,,4.5,1,56:50.0,56:50.0,2024/12/22,饮料,A9,11,88
2590770,YS202504190602090001,666667,蚯蚓,,2,2,02:09.0,02:09.0,2025/4/22,动物,B10,45,2
